업종,업소명,소재지(도로명),소재지전화,데이터기준일
휴게음식점,송도 전동바이크 화담,"부산광역시 서구 송도해변로 21, 301동 104호 (암남동, 송도 서린 엘마르)",051-254-8766,2021-11-16
휴게음식점,갓식빵,"부산광역시 서구 대영로38번길 11, 109동 102호 (서대신동1가, 대신 푸르지오)",,2021-11-16
휴게음식점,카페 늘솜,"부산광역시 서구 구덕로 274, 1층 (동대신동1가)",,2021-11-16
휴게음식점,웨스트사이드,"부산광역시 서구 보수대로 205, 1층 (동대신동2가)",,2021-11-16
휴게음식점,채원청초,부산광역시 서구 부용로 3-1 (서대신동1가),,2021-11-16
휴게음식점,다이브 갤러리,"부산광역시 서구 송도해변로 21, 301동 106호 (암남동, 송도 서린 엘마르)",,2021-11-16
휴게음식점,메리골드,"부산광역시 서구 구덕로124번길 27, 1층 (토성동5가)",,2021-11-16
휴게음식점,샤사,"부산광역시 서구 대청로 5-1, 1층 (부민동1가)",,2021-11-16
휴게음식점,카페 마이쏭,"부산광역시 서구 암남공원로 36, 1층 (암남동)",,2021-11-16
휴게음식점,오루즈(EAU ROUGE),"부산광역시 서구 해돋이로 127, 지하1층 (남부민동)",,2021-11-16
휴게음식점,하트풀커피,"부산광역시 서구 대신로 141, 1층 (서대신동3가)",051-911-1268,2021-11-16
휴게음식점,45번길카페,"부산광역시 서구 대영로45번길 78, 1층 (서대신동3가)",,2021-11-16
휴게음식점,클래시코 141,"부산광역시 서구 해돋이로 141, 1층 (남부민동)",,2021-11-16
휴게음식점,동아대병원카페오가다,"부산광역시 서구 대신공원로 32, 동아대학교병원 중정의료동 지하2층 (동대신동3가)",051-231-9817,2021-11-16
휴게음식점,쥬닝카페(cafe),"부산광역시 서구 해돋이로 37-1, 1층 (남부민동)",,2021-11-16
휴게음식점,CU 서구대신협성점,"부산광역시 서구 대티로 159, 117동 103,104호 (서대신동3가, 협성르네상스)",,2021-11-16
휴게음식점,커피베이 동대신점,"부산광역시 서구 보수대로 221-1, 1층 (동대신동3가)",,2021-11-16
휴게음식점,카페 무아커피,"부산광역시 서구 구덕로 131, 2층 (토성동5가)",,2021-11-16
휴게음식점,카페 브루니,"부산광역시 서구 대영로 29, 1,2층 (서대신동2가)",,2021-11-16
휴게음식점,도솔,"부산광역시 서구 엄광산로40번길 26, 3층 (서대신동3가)",051-244-0691,2021-11-16
휴게음식점,프레티올라,"부산광역시 서구 구덕로334번길 6, 1층 (동대신동3가)",,2021-11-16
휴게음식점,뚜까르마(Tu'calma),"부산광역시 서구 대영로85번길 81, 1층 (동대신동3가)",,2021-11-16
휴게음식점,카페 프랜즈,"부산광역시 서구 천마로50번길 70, 이태석 신부 기념 1층 (남부민동)",,2021-11-16
휴게음식점,언더베이크,"부산광역시 서구 구덕로 168, 1층 (토성동3가)",,2021-11-16
휴게음식점,엠바크,"부산광역시 서구 고운들로35번길 12, 1층 (부민동3가)",,2021-11-16
휴게음식점,땡스커피(Thanks Coffee),"부산광역시 서구 고운들로 33, 1층 (부용동2가)",,2021-11-16
휴게음식점,카페 기글링(Cafe Giggling),"부산광역시 서구 구덕로 214, 1,2,3층 (부민동1가)",,2021-11-16
휴게음식점,세진,"부산광역시 서구 구덕로 253, 1층 (부용동2가)",,2021-11-16
휴게음식점,부산서구지역자활센터 가온비 서구점,"부산광역시 서구 구덕로 127, 1층 (토성동5가)",,2021-11-16
휴게음식점,밥먹고쉼터,부산광역시 서구 대티로 175-1 (서대신동3가),,2021-11-16
휴게음식점,가온커피,부산광역시 서구 암남공원로 235 (암남동),,2021-11-16
휴게음식점,브레댄코 부산남포점,"부산광역시 서구 보수대로 27, 101동 1층 122호 (토성동1가, 경동 리인)",,2021-11-16
휴게음식점,라 루엘라(la ruelle),"부산광역시 서구 부용로32번길 27-12, 1층 (부용동2가)",,2021-11-16
휴게음식점,A to Z (에이 투 제트),"부산광역시 서구 보수대로293번길 34-1, 1,2층 (서대신동3가)",,2021-11-16
휴게음식점,달달하모,"부산광역시 서구 대영로 89, 1층 101호 (동대신동2가, 이지벨빌리지)",,2021-11-16
휴게음식점,삼촌커피,"부산광역시 서구 동대로19번길 32, 상가동 108호 (동대신동3가, 브라운스톤 하이포레)",,2021-11-16
휴게음식점,해돋이 카페,"부산광역시 서구 해돋이로 357-27, 1층 (서대신동1가)",,2021-11-16
휴게음식점,오이소(OESO),"부산광역시 서구 구덕로296번길 24, 1,2,3층 (동대신동2가)",,2021-11-16
휴게음식점,윙고(WINGO),"부산광역시 서구 대신공원로 26, 동아대학교병원 지하동 2층 (동대신동3가)",,2021-11-16
휴게음식점,쌀이든 Baking&cafe,"부산광역시 서구 보수대로280번길 24, 101호 (동대신동3가, 산호오피스텔)",,2021-11-16
휴게음식점,샌치하다,"부산광역시 서구 망양로21번길 18-1, 1층 (서대신동3가)",,2021-11-16
휴게음식점,카페 윤,"부산광역시 서구 부용로 41-1, 1층 (서대신동1가)",,2021-11-16
휴게음식점,커피나라,"부산광역시 서구 충무대로255번길 6, 1층 (충무동1가)",,2021-11-16
휴게음식점,헬로우(HELLO),"부산광역시 서구 구덕로157번길 3, 1층 (초장동)",,2021-11-16
휴게음식점,디아펠리즈 dia feliz,"부산광역시 서구 암남공원로 39, 301동 102,104호 (암남동, 송도 풍림아이원)",,2021-11-16
휴게음식점,체리쉬(Cherish),"부산광역시 서구 고운들로 52, 1층 (부용동2가)",,2021-11-16
휴게음식점,사단법인 부산연탄은행 청소년창작스페이스 사부작,"부산광역시 서구 까치고개로 179, 1층 (아미동2가)",051-257-2525,2021-11-16
휴게음식점,어린 왕자,"부산광역시 서구 암남공원로 181, 송도케이블카 106호 (암남동)",,2021-11-16
휴게음식점,솔향,"부산광역시 서구 송도해변로 21, 301동 102호 (암남동, 송도 서린 엘마르)",,2021-11-16
휴게음식점,"설레봄,프룻","부산광역시 서구 고운들로 181, 상가동 101호 (서대신동2가, 대신 푸르지오 2차)",070-7576-4992,2021-11-16
휴게음식점,오구플라워,"부산광역시 서구 구덕로295번길 40, 1층 (서대신동2가)",1800-5900,2021-11-16
휴게음식점,플라워카페 오구,"부산광역시 서구 구덕로295번길 40, 1층 (서대신동2가)",070-8679-5900,2021-11-16
